EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LLEIDA - LA FEMOSA, SPAIN (STAID: 16617)
Blended and updated with sources:91296 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 16617, 91296,20180801,-9999,    9
 16617, 91296,20180802,-9999,    9
 16617, 91296,20180803,-9999,    9
 16617, 91296,20180804,-9999,    9
 16617, 91296,20180805,-9999,    9
 16617, 91296,20180806,-9999,    9
 16617, 91296,20180807,-9999,    9
 16617, 91296,20180808,-9999,    9
 16617, 91296,20180809,-9999,    9
 16617, 91296,20180810,-9999,    9
 16617, 91296,20180811,-9999,    9
 16617, 91296,20180812,-9999,    9
 16617, 91296,20180813,-9999,    9
 16617, 91296,20180814,-9999,    9
 16617, 91296,20180815,-9999,    9
 16617, 91296,20180816,-9999,    9
 16617, 91296,20180817,-9999,    9
 16617, 91296,20180818,-9999,    9
 16617, 91296,20180819,-9999,    9
 16617, 91296,20180820,-9999,    9
 16617, 91296,20180821,-9999,    9
 16617, 91296,20180822,  258,    0
 16617, 91296,20180823,  256,    0
 16617, 91296,20180824,  241,    0
 16617, 91296,20180825,  217,    0
 16617, 91296,20180826,  215,    0
 16617, 91296,20180827,  248,    0
 16617, 91296,20180828,  253,    0
 16617, 91296,20180829,  255,    0
 16617, 91296,20180830,  244,    0
 16617, 91296,20180831,  243,    0
 16617, 91296,20180901,  237,    0
 16617, 91296,20180902,  252,    0
 16617, 91296,20180903,  252,    0
 16617, 91296,20180904,  243,    0
 16617, 91296,20180905,  232,    0
 16617, 91296,20180906,  220,    0
 16617, 91296,20180907,  216,    0
 16617, 91296,20180908,  227,    0
 16617, 91296,20180909,  228,    0
 16617, 91296,20180910,  226,    0
 16617, 91296,20180911,  237,    0
 16617, 91296,20180912,  226,    0
 16617, 91296,20180913,  228,    0
 16617, 91296,20180914,  220,    0
 16617, 91296,20180915,  219,    0
 16617, 91296,20180916,  233,    0
 16617, 91296,20180917,  230,    0
 16617, 91296,20180918,  225,    0
 16617, 91296,20180919,  227,    0
 16617, 91296,20180920,  242,    0
 16617, 91296,20180921,  242,    0
 16617, 91296,20180922,  236,    0
 16617, 91296,20180923,  235,    0
 16617, 91296,20180924,  221,    0
 16617, 91296,20180925,  166,    0
 16617, 91296,20180926,  208,    0
 16617, 91296,20180927,  195,    0
 16617, 91296,20180928,  196,    0
 16617, 91296,20180929,  211,    0
 16617, 91296,20180930,  205,    0
 16617, 91296,20181001,  168,    0
 16617, 91296,20181002,  153,    0
 16617, 91296,20181003,  173,    0
 16617, 91296,20181004,  177,    0
 16617, 91296,20181005,  190,    0
 16617, 91296,20181006,  196,    0
 16617, 91296,20181007,  167,    0
 16617, 91296,20181008,  141,    0
 16617, 91296,20181009,  149,    0
 16617, 91296,20181010,  170,    0
 16617, 91296,20181011,  184,    0
 16617, 91296,20181012,  201,    0
 16617, 91296,20181013,  204,    0
 16617, 91296,20181014,  182,    0
 16617, 91296,20181015,  150,    0
 16617, 91296,20181016,  156,    0
 16617, 91296,20181017,  170,    0
 16617, 91296,20181018,  168,    0
 16617, 91296,20181019,  183,    0
 16617, 91296,20181020,  176,    0
 16617, 91296,20181021,  165,    0
 16617, 91296,20181022,  153,    0
 16617, 91296,20181023,  129,    0
 16617, 91296,20181024,  131,    0
 16617, 91296,20181025,  128,    0
 16617, 91296,20181026,  129,    0
 16617, 91296,20181027,  117,    0
 16617, 91296,20181028,   75,    0
 16617, 91296,20181029,   73,    0
 16617, 91296,20181030,   83,    0
 16617, 91296,20181031,  113,    0
 16617, 91296,20181101,  104,    0
 16617, 91296,20181102,  105,    0
 16617, 91296,20181103,   89,    0
 16617, 91296,20181104,   81,    0
 16617, 91296,20181105,  104,    0
 16617, 91296,20181106,  100,    0
 16617, 91296,20181107,   98,    0
 16617, 91296,20181108,  113,    0
 16617, 91296,20181109,  116,    0
 16617, 91296,20181110,  113,    0
 16617, 91296,20181111,  136,    0
 16617, 91296,20181112,  158,    0
 16617, 91296,20181113,  126,    0
 16617, 91296,20181114,  139,    0
 16617, 91296,20181115,  136,    0
 16617, 91296,20181116,  132,    0
 16617, 91296,20181117,  129,    0
 16617, 91296,20181118,  114,    0
 16617, 91296,20181119,  113,    0
 16617, 91296,20181120,   89,    0
 16617, 91296,20181121,   88,    0
 16617, 91296,20181122,   71,    0
 16617, 91296,20181123,   79,    0
 16617, 91296,20181124,   48,    0
 16617, 91296,20181125,   59,    0
 16617, 91296,20181126,   86,    0
 16617, 91296,20181127,   95,    0
 16617, 91296,20181128,   62,    0
 16617, 91296,20181129,   42,    0
 16617, 91296,20181130,   95,    0
 16617, 91296,20181201,   62,    0
 16617, 91296,20181202,   81,    0
 16617, 91296,20181203,   73,    0
 16617, 91296,20181204,   75,    0
 16617, 91296,20181205,   78,    0
 16617, 91296,20181206,   89,    0
 16617, 91296,20181207,   74,    0
 16617, 91296,20181208,   70,    0
 16617, 91296,20181209,   88,    0
 16617, 91296,20181210,   83,    0
 16617, 91296,20181211,   27,    0
 16617, 91296,20181212,   39,    0
 16617, 91296,20181213,   53,    0
 16617, 91296,20181214,   89,    0
 16617, 91296,20181215,   72,    0
 16617, 91296,20181216,   67,    0
 16617, 91296,20181217,   72,    0
 16617, 91296,20181218,   35,    0
 16617, 91296,20181219,   77,    0
 16617, 91296,20181220,   67,    0
 16617, 91296,20181221,   45,    0
 16617, 91296,20181222,   54,    0
 16617, 91296,20181223,   38,    0
 16617, 91296,20181224,   55,    0
 16617, 91296,20181225,   52,    0
 16617, 91296,20181226,   52,    0
 16617, 91296,20181227,   61,    0
 16617, 91296,20181228,   60,    0
 16617, 91296,20181229,   55,    0
 16617, 91296,20181230,   39,    0
 16617, 91296,20181231,   28,    0
 16617, 91296,20190101,-9999,    9
 16617, 91296,20190102,-9999,    9
 16617, 91296,20190103,-9999,    9
 16617, 91296,20190104,-9999,    9
 16617, 91296,20190105,-9999,    9
 16617, 91296,20190106,-9999,    9
 16617, 91296,20190107,-9999,    9
 16617, 91296,20190108,-9999,    9
 16617, 91296,20190109,-9999,    9
 16617, 91296,20190110,-9999,    9
 16617, 91296,20190111,-9999,    9
 16617, 91296,20190112,-9999,    9
 16617, 91296,20190113,-9999,    9
 16617, 91296,20190114,-9999,    9
 16617, 91296,20190115,-9999,    9
 16617, 91296,20190116,-9999,    9
 16617, 91296,20190117,-9999,    9
 16617, 91296,20190118,-9999,    9
 16617, 91296,20190119,-9999,    9
 16617, 91296,20190120,-9999,    9
 16617, 91296,20190121,-9999,    9
 16617, 91296,20190122,-9999,    9
 16617, 91296,20190123,-9999,    9
 16617, 91296,20190124,-9999,    9
 16617, 91296,20190125,-9999,    9
 16617, 91296,20190126,-9999,    9
 16617, 91296,20190127,-9999,    9
